id	difficulty	title	tags
1	Easy	Two Sum	Array,Hash Table
2	Medium	Add Two Numbers	Recursion,Linked List,Math
3	Medium	Longest Substring Without Repeating Characters	Hash Table,String,Sliding Window
4	Hard	Median of Two Sorted Arrays	Array,Binary Search,Divide and Conquer
5	Medium	Longest Palindromic Substring	Two Pointers,String,Dynamic Programming
6	Medium	Zigzag Conversion	String
7	Medium	Reverse Integer	Math
8	Medium	String to Integer (atoi)	String
9	Easy	Palindrome Number	Math
10	Hard	Regular Expression Matching	Recursion,String,Dynamic Programming
11	Medium	Container With Most Water	Greedy,Array,Two Pointers
12	Medium	Integer to Roman	Hash Table,Math,String
13	Easy	Roman to Integer	Hash Table,Math,String
14	Easy	Longest Common Prefix	Trie,Array,String
15	Medium	3Sum	Array,Two Pointers,Sorting
16	Medium	3Sum Closest	Array,Two Pointers,Sorting
17	Medium	Letter Combinations of a Phone Number	Hash Table,String,Backtracking
18	Medium	4Sum	Array,Two Pointers,Sorting
19	Medium	Remove Nth Node From End of List	Linked List,Two Pointers
20	Easy	Valid Parentheses	Stack,String
21	Easy	Merge Two Sorted Lists	Recursion,Linked List
22	Medium	Generate Parentheses	String,Dynamic Programming,Backtracking
23	Hard	Merge k Sorted Lists	Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort
24	Medium	Swap Nodes in Pairs	Recursion,Linked List
25	Hard	Reverse Nodes in k-Group	Recursion,Linked List
26	Easy	Remove Duplicates from Sorted Array	Array,Two Pointers
27	Easy	Remove Element	Array,Two Pointers
28	Easy	Find the Index of the First Occurrence in a String	Two Pointers,String,String Matching
29	Medium	Divide Two Integers	Bit Manipulation,Math
30	Hard	Substring with Concatenation of All Words	Hash Table,String,Sliding Window
31	Medium	Next Permutation	Array,Two Pointers
32	Hard	Longest Valid Parentheses	Stack,String,Dynamic Programming
33	Medium	Search in Rotated Sorted Array	Array,Binary Search
34	Medium	Find First and Last Position of Element in Sorted Array	Array,Binary Search
35	Easy	Search Insert Position	Array,Binary Search
36	Medium	Valid Sudoku	Array,Hash Table,Matrix
37	Hard	Sudoku Solver	Array,Hash Table,Backtracking,Matrix
38	Medium	Count and Say	String
39	Medium	Combination Sum	Array,Backtracking
40	Medium	Combination Sum II	Array,Backtracking
41	Hard	First Missing Positive	Array,Hash Table
42	Hard	Trapping Rain Water	Stack,Array,Two Pointers,Dynamic Programming,Monotonic Stack
43	Medium	Multiply Strings	Math,String,Simulation
44	Hard	Wildcard Matching	Greedy,Recursion,String,Dynamic Programming
45	Medium	Jump Game II	Greedy,Array,Dynamic Programming
46	Medium	Permutations	Array,Backtracking
47	Medium	Permutations II	Array,Backtracking,Sorting
48	Medium	Rotate Image	Array,Math,Matrix
49	Medium	Group Anagrams	Array,Hash Table,String,Sorting
50	Medium	Pow(x, n)	Recursion,Math
51	Hard	N-Queens	Array,Backtracking
52	Hard	N-Queens II	Backtracking
53	Medium	Maximum Subarray	Array,Divide and Conquer,Dynamic Programming
54	Medium	Spiral Matrix	Array,Matrix,Simulation
55	Medium	Jump Game	Greedy,Array,Dynamic Programming
56	Medium	Merge Intervals	Array,Sorting
57	Medium	Insert Interval	Array
58	Easy	Length of Last Word	String
59	Medium	Spiral Matrix II	Array,Matrix,Simulation
60	Hard	Permutation Sequence	Recursion,Math
61	Medium	Rotate List	Linked List,Two Pointers
62	Medium	Unique Paths	Math,Dynamic Programming,Combinatorics
63	Medium	Unique Paths II	Array,Dynamic Programming,Matrix
64	Medium	Minimum Path Sum	Array,Dynamic Programming,Matrix
65	Hard	Valid Number	String
66	Easy	Plus One	Array,Math
67	Easy	Add Binary	Bit Manipulation,Math,String,Simulation
68	Hard	Text Justification	Array,String,Simulation
69	Easy	Sqrt(x)	Math,Binary Search
70	Easy	Climbing Stairs	Memoization,Math,Dynamic Programming
71	Medium	Simplify Path	Stack,String
72	Medium	Edit Distance	String,Dynamic Programming
73	Medium	Set Matrix Zeroes	Array,Hash Table,Matrix
74	Medium	Search a 2D Matrix	Array,Binary Search,Matrix
75	Medium	Sort Colors	Array,Two Pointers,Sorting
76	Hard	Minimum Window Substring	Hash Table,String,Sliding Window
77	Medium	Combinations	Backtracking
78	Medium	Subsets	Bit Manipulation,Array,Backtracking
79	Medium	Word Search	Depth-First Search,Array,String,Backtracking,Matrix
80	Medium	Remove Duplicates from Sorted Array II	Array,Two Pointers
81	Medium	Search in Rotated Sorted Array II	Array,Binary Search
82	Medium	Remove Duplicates from Sorted List II	Linked List,Two Pointers
83	Easy	Remove Duplicates from Sorted List	Linked List
84	Hard	Largest Rectangle in Histogram	Stack,Array,Monotonic Stack
85	Hard	Maximal Rectangle	Stack,Array,Dynamic Programming,Matrix,Monotonic Stack
86	Medium	Partition List	Linked List,Two Pointers
87	Hard	Scramble String	String,Dynamic Programming
88	Easy	Merge Sorted Array	Array,Two Pointers,Sorting
89	Medium	Gray Code	Bit Manipulation,Math,Backtracking
90	Medium	Subsets II	Bit Manipulation,Array,Backtracking
91	Medium	Decode Ways	String,Dynamic Programming
92	Medium	Reverse Linked List II	Linked List
93	Medium	Restore IP Addresses	String,Backtracking
94	Easy	Binary Tree Inorder Traversal	Stack,Tree,Depth-First Search,Binary Tree
95	Medium	Unique Binary Search Trees II	Tree,Binary Search Tree,Dynamic Programming,Backtracking,Binary Tree
96	Medium	Unique Binary Search Trees	Tree,Binary Search Tree,Math,Dynamic Programming,Binary Tree
97	Medium	Interleaving String	String,Dynamic Programming
98	Medium	Validate Binary Search Tree	Tree,Depth-First Search,Binary Search Tree,Binary Tree
99	Medium	Recover Binary Search Tree	Tree,Depth-First Search,Binary Search Tree,Binary Tree
100	Easy	Same Tree	Tree,Depth-First Search,Breadth-First Search,Binary Tree
101	Easy	Symmetric Tree	Tree,Depth-First Search,Breadth-First Search,Binary Tree
102	Medium	Binary Tree Level Order Traversal	Tree,Breadth-First Search,Binary Tree
103	Medium	Binary Tree Zigzag Level Order Traversal	Tree,Breadth-First Search,Binary Tree
104	Easy	Maximum Depth of Binary Tree	Tree,Depth-First Search,Breadth-First Search,Binary Tree
105	Medium	Construct Binary Tree from Preorder and Inorder Traversal	Tree,Array,Hash Table,Divide and Conquer,Binary Tree
106	Medium	Construct Binary Tree from Inorder and Postorder Traversal	Tree,Array,Hash Table,Divide and Conquer,Binary Tree
107	Medium	Binary Tree Level Order Traversal II	Tree,Breadth-First Search,Binary Tree
108	Easy	Convert Sorted Array to Binary Search Tree	Tree,Binary Search Tree,Array,Divide and Conquer,Binary Tree
109	Medium	Convert Sorted List to Binary Search Tree	Tree,Binary Search Tree,Linked List,Divide and Conquer,Binary Tree
110	Easy	Balanced Binary Tree	Tree,Depth-First Search,Binary Tree
111	Easy	Minimum Depth of Binary Tree	Tree,Depth-First Search,Breadth-First Search,Binary Tree
112	Easy	Path Sum	Tree,Depth-First Search,Breadth-First Search,Binary Tree
113	Medium	Path Sum II	Tree,Depth-First Search,Backtracking,Binary Tree
114	Medium	Flatten Binary Tree to Linked List	Stack,Tree,Depth-First Search,Linked List,Binary Tree
115	Hard	Distinct Subsequences	String,Dynamic Programming
116	Medium	Populating Next Right Pointers in Each Node	Tree,Depth-First Search,Breadth-First Search,Linked List,Binary Tree
117	Medium	Populating Next Right Pointers in Each Node II	Tree,Depth-First Search,Breadth-First Search,Linked List,Binary Tree
118	Easy	Pascal's Triangle	Array,Dynamic Programming
119	Easy	Pascal's Triangle II	Array,Dynamic Programming
120	Medium	Triangle	Array,Dynamic Programming
121	Easy	Best Time to Buy and Sell Stock	Array,Dynamic Programming
122	Medium	Best Time to Buy and Sell Stock II	Greedy,Array,Dynamic Programming
123	Hard	Best Time to Buy and Sell Stock III	Array,Dynamic Programming
124	Hard	Binary Tree Maximum Path Sum	Tree,Depth-First Search,Dynamic Programming,Binary Tree
125	Easy	Valid Palindrome	Two Pointers,String
126	Hard	Word Ladder II	Breadth-First Search,Hash Table,String,Backtracking
127	Hard	Word Ladder	Breadth-First Search,Hash Table,String
128	Medium	Longest Consecutive Sequence	Union Find,Array,Hash Table
129	Medium	Sum Root to Leaf Numbers	Tree,Depth-First Search,Binary Tree
130	Medium	Surrounded Regions	Depth-First Search,Breadth-First Search,Union Find,Array,Matrix
131	Medium	Palindrome Partitioning	String,Dynamic Programming,Backtracking
132	Hard	Palindrome Partitioning II	String,Dynamic Programming
133	Medium	Clone Graph	Depth-First Search,Breadth-First Search,Graph,Hash Table
134	Medium	Gas Station	Greedy,Array
135	Hard	Candy	Greedy,Array
136	Easy	Single Number	Bit Manipulation,Array
137	Medium	Single Number II	Bit Manipulation,Array
138	Medium	Copy List with Random Pointer	Hash Table,Linked List
139	Medium	Word Break	Trie,Memoization,Array,Hash Table,String,Dynamic Programming
140	Hard	Word Break II	Trie,Memoization,Array,Hash Table,String,Dynamic Programming,Backtracking
141	Easy	Linked List Cycle	Hash Table,Linked List,Two Pointers
142	Medium	Linked List Cycle II	Hash Table,Linked List,Two Pointers
143	Medium	Reorder List	Stack,Recursion,Linked List,Two Pointers
144	Easy	Binary Tree Preorder Traversal	Stack,Tree,Depth-First Search,Binary Tree
145	Easy	Binary Tree Postorder Traversal	Stack,Tree,Depth-First Search,Binary Tree
146	Medium	LRU Cache	Design,Hash Table,Linked List,Doubly-Linked List
147	Medium	Insertion Sort List	Linked List,Sorting
148	Medium	Sort List	Linked List,Two Pointers,Divide and Conquer,Sorting,Merge Sort
149	Hard	Max Points on a Line	Geometry,Array,Hash Table,Math
150	Medium	Evaluate Reverse Polish Notation	Stack,Array,Math
151	Medium	Reverse Words in a String	Two Pointers,String
152	Medium	Maximum Product Subarray	Array,Dynamic Programming
153	Medium	Find Minimum in Rotated Sorted Array	Array,Binary Search
154	Hard	Find Minimum in Rotated Sorted Array II	Array,Binary Search
155	Medium	Min Stack	Stack,Design
156	Medium	Binary Tree Upside Down	Tree,Depth-First Search,Binary Tree
157	Easy	Read N Characters Given Read4	Array,Interactive,Simulation
158	Hard	Read N Characters Given read4 II - Call Multiple Times	Array,Interactive,Simulation
159	Medium	Longest Substring with At Most Two Distinct Characters	Hash Table,String,Sliding Window
160	Easy	Intersection of Two Linked Lists	Hash Table,Linked List,Two Pointers
161	Medium	One Edit Distance	Two Pointers,String
162	Medium	Find Peak Element	Array,Binary Search
163	Easy	Missing Ranges	Array
164	Medium	Maximum Gap	Array,Bucket Sort,Radix Sort,Sorting
165	Medium	Compare Version Numbers	Two Pointers,String
166	Medium	Fraction to Recurring Decimal	Hash Table,Math,String
167	Medium	Two Sum II - Input Array Is Sorted	Array,Two Pointers,Binary Search
168	Easy	Excel Sheet Column Title	Math,String
169	Easy	Majority Element	Array,Hash Table,Divide and Conquer,Counting,Sorting
170	Easy	Two Sum III - Data structure design	Design,Array,Hash Table,Two Pointers,Data Stream
171	Easy	Excel Sheet Column Number	Math,String
172	Medium	Factorial Trailing Zeroes	Math
173	Medium	Binary Search Tree Iterator	Stack,Tree,Design,Binary Search Tree,Binary Tree,Iterator
174	Hard	Dungeon Game	Array,Dynamic Programming,Matrix
175	Easy	Combine Two Tables	Database
176	Medium	Second Highest Salary	Database
177	Medium	Nth Highest Salary	Database
178	Medium	Rank Scores	Database
179	Medium	Largest Number	Greedy,Array,String,Sorting
180	Medium	Consecutive Numbers	Database
181	Easy	Employees Earning More Than Their Managers	Database
182	Easy	Duplicate Emails	Database
183	Easy	Customers Who Never Order	Database
184	Medium	Department Highest Salary	Database
185	Hard	Department Top Three Salaries	Database
186	Medium	Reverse Words in a String II	Two Pointers,String
187	Medium	Repeated DNA Sequences	Bit Manipulation,Hash Table,String,Sliding Window,Hash Function,Rolling Hash
188	Hard	Best Time to Buy and Sell Stock IV	Array,Dynamic Programming
189	Medium	Rotate Array	Array,Math,Two Pointers
190	Easy	Reverse Bits	Bit Manipulation,Divide and Conquer
191	Easy	Number of 1 Bits	Bit Manipulation,Divide and Conquer
192	Medium	Word Frequency	Shell
193	Easy	Valid Phone Numbers	Shell
194	Medium	Transpose File	Shell
195	Easy	Tenth Line	Shell
196	Easy	Delete Duplicate Emails	Database
197	Easy	Rising Temperature	Database
198	Medium	House Robber	Array,Dynamic Programming
199	Medium	Binary Tree Right Side View	Tree,Depth-First Search,Breadth-First Search,Binary Tree
200	Medium	Number of Islands	Depth-First Search,Breadth-First Search,Union Find,Array,Matrix
201	Medium	Bitwise AND of Numbers Range	Bit Manipulation
202	Easy	Happy Number	Hash Table,Math,Two Pointers
203	Easy	Remove Linked List Elements	Recursion,Linked List
204	Medium	Count Primes	Array,Math,Enumeration,Number Theory
205	Easy	Isomorphic Strings	Hash Table,String
206	Easy	Reverse Linked List	Recursion,Linked List
207	Medium	Course Schedule	Depth-First Search,Breadth-First Search,Graph,Topological Sort
208	Medium	Implement Trie (Prefix Tree)	Design,Trie,Hash Table,String
209	Medium	Minimum Size Subarray Sum	Array,Binary Search,Prefix Sum,Sliding Window
210	Medium	Course Schedule II	Depth-First Search,Breadth-First Search,Graph,Topological Sort
211	Medium	Design Add and Search Words Data Structure	Depth-First Search,Design,Trie,String
212	Hard	Word Search II	Trie,Array,String,Backtracking,Matrix
213	Medium	House Robber II	Array,Dynamic Programming
214	Hard	Shortest Palindrome	String,String Matching,Hash Function,Rolling Hash
215	Medium	Kth Largest Element in an Array	Array,Divide and Conquer,Quickselect,Sorting,Heap (Priority Queue)
216	Medium	Combination Sum III	Array,Backtracking
217	Easy	Contains Duplicate	Array,Hash Table,Sorting
218	Hard	The Skyline Problem	Binary Indexed Tree,Segment Tree,Array,Divide and Conquer,Ordered Set,Sorting,Sweep Line,Heap (Priority Queue)
219	Easy	Contains Duplicate II	Array,Hash Table,Sliding Window
220	Hard	Contains Duplicate III	Array,Bucket Sort,Ordered Set,Sorting,Sliding Window
221	Medium	Maximal Square	Array,Dynamic Programming,Matrix
222	Easy	Count Complete Tree Nodes	Bit Manipulation,Tree,Binary Search,Binary Tree
223	Medium	Rectangle Area	Geometry,Math
224	Hard	Basic Calculator	Stack,Recursion,Math,String
225	Easy	Implement Stack using Queues	Stack,Design,Queue
226	Easy	Invert Binary Tree	Tree,Depth-First Search,Breadth-First Search,Binary Tree
227	Medium	Basic Calculator II	Stack,Math,String
228	Easy	Summary Ranges	Array
229	Medium	Majority Element II	Array,Hash Table,Counting,Sorting
230	Medium	Kth Smallest Element in a BST	Tree,Depth-First Search,Binary Search Tree,Binary Tree
231	Easy	Power of Two	Bit Manipulation,Recursion,Math
232	Easy	Implement Queue using Stacks	Stack,Design,Queue
233	Hard	Number of Digit One	Recursion,Math,Dynamic Programming
234	Easy	Palindrome Linked List	Stack,Recursion,Linked List,Two Pointers
235	Medium	Lowest Common Ancestor of a Binary Search Tree	Tree,Depth-First Search,Binary Search Tree,Binary Tree
236	Medium	Lowest Common Ancestor of a Binary Tree	Tree,Depth-First Search,Binary Tree
237	Medium	Delete Node in a Linked List	Linked List
238	Medium	Product of Array Except Self	Array,Prefix Sum
239	Hard	Sliding Window Maximum	Queue,Array,Sliding Window,Monotonic Queue,Heap (Priority Queue)
240	Medium	Search a 2D Matrix II	Array,Binary Search,Divide and Conquer,Matrix
241	Medium	Different Ways to Add Parentheses	Recursion,Memoization,Math,String,Dynamic Programming
242	Easy	Valid Anagram	Hash Table,String,Sorting
243	Easy	Shortest Word Distance	Array,String
244	Medium	Shortest Word Distance II	Design,Array,Hash Table,Two Pointers,String
245	Medium	Shortest Word Distance III	Array,String
246	Easy	Strobogrammatic Number	Hash Table,Two Pointers,String
247	Medium	Strobogrammatic Number II	Recursion,Array,String
248	Hard	Strobogrammatic Number III	Recursion,Array,String
249	Medium	Group Shifted Strings	Array,Hash Table,String
250	Medium	Count Univalue Subtrees	Tree,Depth-First Search,Binary Tree
251	Medium	Flatten 2D Vector	Design,Array,Two Pointers,Iterator
252	Easy	Meeting Rooms	Array,Sorting
253	Medium	Meeting Rooms II	Greedy,Array,Two Pointers,Prefix Sum,Sorting,Heap (Priority Queue)
254	Medium	Factor Combinations	Backtracking
255	Medium	Verify Preorder Sequence in Binary Search Tree	Stack,Tree,Binary Search Tree,Recursion,Array,Binary Tree,Monotonic Stack
256	Medium	Paint House	Array,Dynamic Programming
257	Easy	Binary Tree Paths	Tree,Depth-First Search,String,Backtracking,Binary Tree
258	Easy	Add Digits	Math,Number Theory,Simulation
259	Medium	3Sum Smaller	Array,Two Pointers,Binary Search,Sorting
260	Medium	Single Number III	Bit Manipulation,Array
261	Medium	Graph Valid Tree	Depth-First Search,Breadth-First Search,Union Find,Graph
262	Hard	Trips and Users	Database
263	Easy	Ugly Number	Math
264	Medium	Ugly Number II	Hash Table,Math,Dynamic Programming,Heap (Priority Queue)
265	Hard	Paint House II	Array,Dynamic Programming
266	Easy	Palindrome Permutation	Bit Manipulation,Hash Table,String
267	Medium	Palindrome Permutation II	Hash Table,String,Backtracking
268	Easy	Missing Number	Bit Manipulation,Array,Hash Table,Math,Binary Search,Sorting
269	Hard	Alien Dictionary	Depth-First Search,Breadth-First Search,Graph,Topological Sort,Array,String
270	Easy	Closest Binary Search Tree Value	Tree,Depth-First Search,Binary Search Tree,Binary Search,Binary Tree
271	Medium	Encode and Decode Strings	Design,Array,String
272	Hard	Closest Binary Search Tree Value II	Stack,Tree,Depth-First Search,Binary Search Tree,Two Pointers,Binary Tree,Heap (Priority Queue)
273	Hard	Integer to English Words	Recursion,Math,String
274	Medium	H-Index	Array,Counting Sort,Sorting
275	Medium	H-Index II	Array,Binary Search
276	Medium	Paint Fence	Dynamic Programming
277	Medium	Find the Celebrity	Graph,Two Pointers,Interactive
278	Easy	First Bad Version	Binary Search,Interactive
279	Medium	Perfect Squares	Breadth-First Search,Math,Dynamic Programming
280	Medium	Wiggle Sort	Greedy,Array,Sorting
281	Medium	Zigzag Iterator	Design,Queue,Array,Iterator
282	Hard	Expression Add Operators	Math,String,Backtracking
283	Easy	Move Zeroes	Array,Two Pointers
284	Medium	Peeking Iterator	Design,Array,Iterator
285	Medium	Inorder Successor in BST	Tree,Depth-First Search,Binary Search Tree,Binary Tree
286	Medium	Walls and Gates	Breadth-First Search,Array,Matrix
287	Medium	Find the Duplicate Number	Bit Manipulation,Array,Two Pointers,Binary Search
288	Medium	Unique Word Abbreviation	Design,Array,Hash Table,String
289	Medium	Game of Life	Array,Matrix,Simulation
290	Easy	Word Pattern	Hash Table,String
291	Medium	Word Pattern II	Hash Table,String,Backtracking
292	Easy	Nim Game	Brainteaser,Math,Game Theory
293	Easy	Flip Game	String
294	Medium	Flip Game II	Memoization,Math,Dynamic Programming,Backtracking,Game Theory
295	Hard	Find Median from Data Stream	Design,Two Pointers,Data Stream,Sorting,Heap (Priority Queue)
296	Hard	Best Meeting Point	Array,Math,Matrix,Sorting
297	Hard	Serialize and Deserialize Binary Tree	Tree,Depth-First Search,Breadth-First Search,Design,String,Binary Tree
298	Medium	Binary Tree Longest Consecutive Sequence	Tree,Depth-First Search,Binary Tree
299	Medium	Bulls and Cows	Hash Table,String,Counting
300	Medium	Longest Increasing Subsequence	Array,Binary Search,Dynamic Programming
301	Hard	Remove Invalid Parentheses	Breadth-First Search,String,Backtracking
302	Hard	Smallest Rectangle Enclosing Black Pixels	Depth-First Search,Breadth-First Search,Array,Binary Search,Matrix
303	Easy	Range Sum Query - Immutable	Design,Array,Prefix Sum
304	Medium	Range Sum Query 2D - Immutable	Design,Array,Matrix,Prefix Sum
305	Hard	Number of Islands II	Union Find,Array,Hash Table
306	Medium	Additive Number	String,Backtracking
307	Medium	Range Sum Query - Mutable	Design,Binary Indexed Tree,Segment Tree,Array,Divide and Conquer
308	Medium	Range Sum Query 2D - Mutable	Design,Binary Indexed Tree,Segment Tree,Array,Matrix
309	Medium	Best Time to Buy and Sell Stock with Cooldown	Array,Dynamic Programming
310	Medium	Minimum Height Trees	Depth-First Search,Breadth-First Search,Graph,Topological Sort
311	Medium	Sparse Matrix Multiplication	Array,Hash Table,Matrix
312	Hard	Burst Balloons	Array,Dynamic Programming
313	Medium	Super Ugly Number	Array,Math,Dynamic Programming
314	Medium	Binary Tree Vertical Order Traversal	Tree,Depth-First Search,Breadth-First Search,Hash Table,Binary Tree,Sorting
315	Hard	Count of Smaller Numbers After Self	Binary Indexed Tree,Segment Tree,Array,Binary Search,Divide and Conquer,Ordered Set,Merge Sort
316	Medium	Remove Duplicate Letters	Stack,Greedy,String,Monotonic Stack
317	Hard	Shortest Distance from All Buildings	Breadth-First Search,Array,Matrix
318	Medium	Maximum Product of Word Lengths	Bit Manipulation,Array,String
319	Medium	Bulb Switcher	Brainteaser,Math
320	Medium	Generalized Abbreviation	Bit Manipulation,String,Backtracking
321	Hard	Create Maximum Number	Stack,Greedy,Array,Two Pointers,Monotonic Stack
322	Medium	Coin Change	Breadth-First Search,Array,Dynamic Programming
323	Medium	Number of Connected Components in an Undirected Graph	Depth-First Search,Breadth-First Search,Union Find,Graph
324	Medium	Wiggle Sort II	Greedy,Array,Divide and Conquer,Quickselect,Sorting
325	Medium	Maximum Size Subarray Sum Equals k	Array,Hash Table,Prefix Sum
326	Easy	Power of Three	Recursion,Math
327	Hard	Count of Range Sum	Binary Indexed Tree,Segment Tree,Array,Binary Search,Divide and Conquer,Ordered Set,Merge Sort
328	Medium	Odd Even Linked List	Linked List
329	Hard	Longest Increasing Path in a Matrix	Depth-First Search,Breadth-First Search,Graph,Topological Sort,Memoization,Array,Dynamic Programming,Matrix
330	Hard	Patching Array	Greedy,Array
331	Medium	Verify Preorder Serialization of a Binary Tree	Stack,Tree,String,Binary Tree
332	Hard	Reconstruct Itinerary	Depth-First Search,Graph,Array,String,Sorting,Eulerian Circuit,Heap (Priority Queue)
333	Medium	Largest BST Subtree	Tree,Depth-First Search,Binary Search Tree,Dynamic Programming,Binary Tree
334	Medium	Increasing Triplet Subsequence	Greedy,Array
335	Hard	Self Crossing	Geometry,Array,Math
336	Hard	Palindrome Pairs	Trie,Array,Hash Table,String,Hash Function
337	Medium	House Robber III	Tree,Depth-First Search,Dynamic Programming,Binary Tree
338	Easy	Counting Bits	Bit Manipulation,Dynamic Programming
339	Medium	Nested List Weight Sum	Depth-First Search,Breadth-First Search
340	Medium	Longest Substring with At Most K Distinct Characters	Hash Table,String,Sliding Window
341	Medium	Flatten Nested List Iterator	Stack,Tree,Depth-First Search,Design,Queue,Iterator
342	Easy	Power of Four	Bit Manipulation,Recursion,Math
343	Medium	Integer Break	Math,Dynamic Programming
344	Easy	Reverse String	Two Pointers,String
345	Easy	Reverse Vowels of a String	Two Pointers,String
346	Easy	Moving Average from Data Stream	Design,Queue,Array,Data Stream
347	Medium	Top K Frequent Elements	Array,Hash Table,Divide and Conquer,Bucket Sort,Counting,Quickselect,Sorting,Heap (Priority Queue)
348	Medium	Design Tic-Tac-Toe	Design,Array,Hash Table,Matrix,Simulation
349	Easy	Intersection of Two Arrays	Array,Hash Table,Two Pointers,Binary Search,Sorting
350	Easy	Intersection of Two Arrays II	Array,Hash Table,Two Pointers,Binary Search,Sorting
351	Medium	Android Unlock Patterns	Bit Manipulation,Dynamic Programming,Backtracking,Bitmask
352	Hard	Data Stream as Disjoint Intervals	Union Find,Design,Hash Table,Binary Search,Data Stream,Ordered Set
353	Medium	Design Snake Game	Design,Queue,Array,Hash Table,Simulation
354	Hard	Russian Doll Envelopes	Array,Binary Search,Dynamic Programming,Sorting
355	Medium	Design Twitter	Design,Hash Table,Linked List,Heap (Priority Queue)
356	Medium	Line Reflection	Array,Hash Table,Math
357	Medium	Count Numbers with Unique Digits	Math,Dynamic Programming,Backtracking
358	Hard	Rearrange String k Distance Apart	Greedy,Hash Table,String,Counting,Sorting,Heap (Priority Queue)
359	Easy	Logger Rate Limiter	Design,Hash Table,Data Stream
360	Medium	Sort Transformed Array	Array,Math,Two Pointers,Sorting
361	Medium	Bomb Enemy	Array,Dynamic Programming,Matrix
362	Medium	Design Hit Counter	Design,Queue,Array,Binary Search,Data Stream
363	Hard	Max Sum of Rectangle No Larger Than K	Array,Binary Search,Matrix,Ordered Set,Prefix Sum
364	Medium	Nested List Weight Sum II	Stack,Depth-First Search,Breadth-First Search
365	Medium	Water and Jug Problem	Depth-First Search,Breadth-First Search,Math
366	Medium	Find Leaves of Binary Tree	Tree,Depth-First Search,Binary Tree
367	Easy	Valid Perfect Square	Math,Binary Search
368	Medium	Largest Divisible Subset	Array,Math,Dynamic Programming,Sorting
369	Medium	Plus One Linked List	Linked List,Math
370	Medium	Range Addition	Array,Prefix Sum
371	Medium	Sum of Two Integers	Bit Manipulation,Math
372	Medium	Super Pow	Math,Divide and Conquer
373	Medium	Find K Pairs with Smallest Sums	Array,Heap (Priority Queue)
374	Easy	Guess Number Higher or Lower	Binary Search,Interactive
375	Medium	Guess Number Higher or Lower II	Math,Dynamic Programming,Game Theory
376	Medium	Wiggle Subsequence	Greedy,Array,Dynamic Programming
377	Medium	Combination Sum IV	Array,Dynamic Programming
378	Medium	Kth Smallest Element in a Sorted Matrix	Array,Binary Search,Matrix,Sorting,Heap (Priority Queue)
379	Medium	Design Phone Directory	Design,Queue,Array,Hash Table,Linked List
380	Medium	Insert Delete GetRandom O(1)	Design,Array,Hash Table,Math,Randomized
381	Hard	Insert Delete GetRandom O(1) - Duplicates allowed	Design,Array,Hash Table,Math,Randomized
382	Medium	Linked List Random Node	Reservoir Sampling,Linked List,Math,Randomized
383	Easy	Ransom Note	Hash Table,String,Counting
384	Medium	Shuffle an Array	Design,Array,Math,Randomized
385	Medium	Mini Parser	Stack,Depth-First Search,String
386	Medium	Lexicographical Numbers	Depth-First Search,Trie
387	Easy	First Unique Character in a String	Queue,Hash Table,String,Counting
388	Medium	Longest Absolute File Path	Stack,Depth-First Search,String
389	Easy	Find the Difference	Bit Manipulation,Hash Table,String,Sorting
390	Medium	Elimination Game	Recursion,Math
391	Hard	Perfect Rectangle	Geometry,Array,Hash Table,Math,Sweep Line
392	Easy	Is Subsequence	Two Pointers,String,Dynamic Programming
393	Medium	UTF-8 Validation	Bit Manipulation,Array
394	Medium	Decode String	Stack,Recursion,String
395	Medium	Longest Substring with At Least K Repeating Characters	Hash Table,String,Divide and Conquer,Sliding Window
396	Medium	Rotate Function	Array,Math,Dynamic Programming
397	Medium	Integer Replacement	Greedy,Bit Manipulation,Memoization,Dynamic Programming
398	Medium	Random Pick Index	Reservoir Sampling,Hash Table,Math,Randomized
399	Medium	Evaluate Division	Depth-First Search,Breadth-First Search,Union Find,Graph,Array,String,Shortest Path
400	Medium	Nth Digit	Math,Binary Search
401	Easy	Binary Watch	Bit Manipulation,Backtracking
402	Medium	Remove K Digits	Stack,Greedy,String,Monotonic Stack
403	Hard	Frog Jump	Array,Dynamic Programming
404	Easy	Sum of Left Leaves	Tree,Depth-First Search,Breadth-First Search,Binary Tree
405	Easy	Convert a Number to Hexadecimal	Bit Manipulation,Math,String
406	Medium	Queue Reconstruction by Height	Binary Indexed Tree,Segment Tree,Array,Sorting
407	Hard	Trapping Rain Water II	Breadth-First Search,Array,Matrix,Heap (Priority Queue)
408	Easy	Valid Word Abbreviation	Two Pointers,String
409	Easy	Longest Palindrome	Greedy,Hash Table,String
410	Hard	Split Array Largest Sum	Greedy,Array,Binary Search,Dynamic Programming,Prefix Sum
411	Hard	Minimum Unique Word Abbreviation	Bit Manipulation,Array,String,Backtracking
412	Easy	Fizz Buzz	Math,String,Simulation
413	Medium	Arithmetic Slices	Array,Dynamic Programming,Sliding Window
414	Easy	Third Maximum Number	Array,Sorting
415	Easy	Add Strings	Math,String,Simulation
416	Medium	Partition Equal Subset Sum	Array,Dynamic Programming
417	Medium	Pacific Atlantic Water Flow	Depth-First Search,Breadth-First Search,Array,Matrix
418	Medium	Sentence Screen Fitting	Array,String,Dynamic Programming
419	Medium	Battleships in a Board	Depth-First Search,Array,Matrix
