id	difficulty	title	tags
1392	Hard	Longest Happy Prefix	String,String Matching,Hash Function,Rolling Hash
1393	Medium	Capital GainLoss	Database
1394	Easy	Find Lucky Integer in an Array	Array,Hash Table,Counting
1395	Medium	Count Number of Teams	Binary Indexed Tree,Segment Tree,Array,Dynamic Programming
1396	Medium	Design Underground System	Design,Hash Table,String
1397	Hard	Find All Good Strings	String,Dynamic Programming,String Matching
1398	Medium	Customers Who Bought Products A and B but Not C	Database
1399	Easy	Count Largest Group	Hash Table,Math,Counting
1400	Medium	Construct K Palindrome Strings	Greedy,Hash Table,String,Counting
1401	Medium	Circle and Rectangle Overlapping	Geometry,Math
1402	Hard	Reducing Dishes	Greedy,Array,Dynamic Programming,Sorting
1403	Easy	Minimum Subsequence in Non-Increasing Order	Greedy,Array,Sorting
1404	Medium	Number of Steps to Reduce a Number in Binary Representation to One	Bit Manipulation,String,Simulation
1405	Medium	Longest Happy String	Greedy,String,Heap (Priority Queue)
1406	Hard	Stone Game III	Array,Math,Dynamic Programming,Game Theory
1407	Easy	Top Travellers	Database
1408	Easy	String Matching in an Array	Array,String,String Matching
1409	Medium	Queries on a Permutation With Key	Binary Indexed Tree,Array,Simulation
1410	Medium	HTML Entity Parser	Hash Table,String
1411	Hard	Number of Ways to Paint N × 3 Grid	Dynamic Programming
1412	Hard	Find the Quiet Students in All Exams	Database
1413	Easy	Minimum Value to Get Positive Step by Step Sum	Array,Prefix Sum
1414	Medium	Find the Minimum Number of Fibonacci Numbers Whose Sum Is K	Greedy,Math
1415	Medium	The k-th Lexicographical String of All Happy Strings of Length n	String,Backtracking
1416	Hard	Restore The Array	String,Dynamic Programming
1417	Easy	Reformat The String	String
1418	Medium	Display Table of Food Orders in a Restaurant	Array,Hash Table,String,Ordered Set,Sorting
1419	Medium	Minimum Number of Frogs Croaking	String,Counting
1420	Hard	Build Array Where You Can Find The Maximum Exactly K Comparisons	Dynamic Programming,Prefix Sum
1421	Easy	NPV Queries	Database
1422	Easy	Maximum Score After Splitting a String	String,Prefix Sum
1423	Medium	Maximum Points You Can Obtain from Cards	Array,Prefix Sum,Sliding Window
1424	Medium	Diagonal Traverse II	Array,Sorting,Heap (Priority Queue)
1425	Hard	Constrained Subsequence Sum	Queue,Array,Dynamic Programming,Sliding Window,Monotonic Queue,Heap (Priority Queue)
1426	Easy	Counting Elements	Array,Hash Table
1427	Easy	Perform String Shifts	Array,Math,String
1428	Medium	Leftmost Column with at Least a One	Array,Binary Search,Interactive,Matrix
1429	Medium	First Unique Number	Design,Queue,Array,Hash Table,Data Stream
